#row 	col 	t0 	t 	deltaT 	thl 	par0 	par1 	par2 	par3
128	80	608.355	664.098	55.7422	14	47.6852	10.6035	0.455349	605.263
128	96	608.348	660.895	52.5469	16	51.366	13.1127	0.49146	605.581
128	112	608.348	660.965	52.6172	16	53.9901	13.5054	0.507428	605.641
128	128	610.105	644.496	34.3906	16	42.0591	16.6243	0.461424	607.766
128	144	608.348	654.668	46.3203	14	29.7484	15.9293	0.226099	600.502
128	160	608.348	654.629	46.2812	18	30.0277	19.9376	0.215983	599.941
128	176	608.348	648.48	40.1328	12	38.409	13.2881	0.390997	604.35
128	192	608.348	651.574	43.2266	16	75.4509	9.99485	0.61883	606.365
128	208	608.348	660.926	52.5781	14	52.3136	11.2906	0.504326	605.67
128	224	609.723	660.949	51.2266	16	93.6575	10.4375	0.710094	608.591
128	240	610.082	654.691	44.6094	14	37.6633	15.4059	0.427939	607.451
144	0	611.121	642.23	31.1094	14	91.5553	13.8434	0.847934	610.584
144	16	611.004	653.098	42.0938	16	36.1644	17.3198	0.495546	609.054
144	32	609.621	654.66	45.0391	16	41.1497	13.2524	0.460793	607.094
144	48	610.262	651.559	41.2969	18	4000	-3.56011	1.63786	610.644
144	64	608.488	654.707	46.2188	14	45.1951	11.0144	0.456396	605.924
144	80	608.426	660.934	52.5078	18	42.0724	15.8977	0.410957	605.116
144	96	608.41	634.629	26.2188	10	44.8848	11.2624	0.428161	605.101
144	112	608.348	656.262	47.9141	14	74.4573	8.44256	0.599694	606.179
144	128	609.02	654.668	45.6484	14	50.1564	11.1875	0.506972	607.021
144	144	608.355	654.676	46.3203	20	37.0582	16.9943	0.360785	604.154
144	160	608.348	654.699	46.3516	16	104.15	7.83801	0.723349	606.821
144	176	609.863	660.949	51.0859	18	75.4282	12.7469	0.652061	608.517
144	192	608.395	657.816	49.4219	20	40.9843	17.7748	0.391664	604.749
144	208	609.715	653.965	44.25	12	185.126	9.66794	0.956323	609.568
144	224	609.059	651.262	42.2031	16	34.7663	17.5079	0.374776	605.751
144	240	608.379	654.676	46.2969	20	36.2342	17.0929	0.344801	604
160	0	611.363	653.879	42.5156	16	1314.56	-4.31935	1.42199	611.033
160	16	611.41	654.676	43.2656	16	27.9949	17.6968	0.413611	608.712
160	32	609.895	653.121	43.2266	16	47.5921	13.3409	0.50672	607.707
160	48	609.793	648.418	38.625	14	35.9146	15.2776	0.423049	606.972
160	64	609.59	654.715	45.125	16	113.474	6.44013	0.802286	608.854
160	80	609.402	654.715	45.3125	18	91.3661	10.1431	0.695306	608.32
160	96	608.73	657.84	49.1094	18	45.0869	14.4842	0.463048	606.38
160	112	608.348	651.512	43.1641	14	466.784	1.91116	1.10297	607.753
160	128	608.895	653.59	44.6953	12	131.585	10.5183	0.855387	608.823
160	144	609.457	657.793	48.3359	16	86.0815	9.64578	0.67164	608.194
160	160	608.355	654.637	46.2812	14	144.783	9.24797	0.818824	607.536
160	176	608.348	651.559	43.2109	16	282.193	8.29554	0.968045	607.545
160	192	608.348	654.629	46.2812	14	205.941	8.30409	0.941767	607.66
